,WDOFUT,DIFUT,Spread,Z-Score,Position,WDOFUT_Ret,DIFUT_Ret,Strategy_Ret,Cum_Strategy_Ret
2025-12-16,5.413400173187256,0.13046,0.0870971287757846,0.8132051521764532,0,,,,1.0
2025-12-17,5.507500171661377,0.1326,0.1326029399647961,1.238082075595302,0,0.01738279001434284,0.01640349532423735,0.0,1.0
2025-12-18,5.518499851226807,0.13289,0.1370174259261691,1.2792990798577557,0,0.0019972181974734493,0.002187028657616885,-0.0,1.0
2025-12-19,5.521299839019775,0.1319,0.1622979022295396,1.5153368674213117,0,0.0005073820546259711,-0.007449770486869012,0.0,1.0
2025-12-22,5.53980016708374,0.13288,0.1585448174246213,1.480295208266606,0,0.0033507196861906063,0.0074298711144806795,-0.0,1.0
2025-12-23,5.590000152587891,0.13262,0.2146487696082717,2.004124450567504,-1,0.009061696088322302,-0.00195665261890432,0.0,1.0
2025-12-26,5.519499778747559,0.1316,0.167310111202898,1.562134669119375,-1,-0.01261187333021696,-0.007691147639873219,0.004920725690343741,1.0049207256903436
2025-12-29,5.542500019073486,0.13154,0.1916728053779408,1.7896033434891672,-1,0.004167087824604732,-0.0004559270516717451,-0.004623014876276477,1.0002749622259985
2025-12-30,5.5690999031066895,0.13176,0.2132770252977227,1.991316800573912,-1,0.004799257364305642,0.0016724950585373932,-0.003126762305768249,0.9971473401787065
2026-01-02,5.517000198364258,0.13043,0.1913783808773441,1.7868543720342234,-1,-0.009355139187459782,-0.010094110503946596,-0.0007389713164868139,0.9964104768960034
2026-01-05,5.421599864959717,0.12995,0.1068776782657252,0.9978914327025252,-1,-0.017292066335764522,-0.003680134938280899,0.013611931397483623,1.0099735479512457
2026-01-06,5.40749979019165,0.12987,0.0945942086298119,0.8832036016002867,-1,-0.0026007221335525577,-0.0006156213928433241,0.0019851007407092336,1.0119784471893805
2026-01-07,5.372000217437744,0.12983,0.0600029384419826,0.560233148584738,-1,-0.006564877324322205,-0.0003080003080003779,0.006256877016321827,1.0183102718766128
2026-01-08,5.383900165557861,0.13011,0.0655447685995618,0.6119758971686947,-1,0.0022151801262944026,0.0021566664099206267,-5.851371637377589e-05,1.0182506867581838
2026-01-09,5.386600017547607,0.1307,0.0548471577396751,0.5120948518401752,-1,0.0005014676919563588,0.0045346245484589875,0.004033156856502629,1.022357451497121
2026-01-12,5.370299816131592,0.13022,0.0494465871165816,0.4616710098935828,-1,-0.003026064932037942,-0.00367253251721511,-0.0006464675851771684,1.0216965305442638
2026-01-13,5.373700141906738,0.12971,0.0644277706092077,0.6015467529076369,-1,0.0006331724282753193,-0.003916449086161955,-0.004549621514437274,1.0170481980276738
2026-01-14,5.371300220489502,0.13046,0.0449971760780307,0.4201279185017328,-1,-0.00044660501216298165,0.005782129365507593,0.006228734377670575,1.0233831211024766
2026-01-15,5.396100044250488,0.13087,0.0604868985367303,0.564751768750849,-1,0.004617098792278229,0.003142725739690322,-0.0014743730525879073,1.0218742726062497
2026-01-16,5.367899894714356,0.13204,0.0057188989428516,0.0533959976692192,-1,-0.0052260242221007225,0.008940169633987916,0.014166193856088638,1.0363503416485393
2026-01-19,5.367700099945068,0.1314,0.0200519452307919,0.1872202379348354,-1,-3.722028599761895e-05,-0.004847016055740672,-0.004809795769743053,1.0313657081593064
2026-01-20,5.36870002746582,0.13197,0.0081085611849491,0.0757077050073313,-1,0.0001862860260695154,0.004337899543379153,0.004151613517309638,1.0356475399745901
2026-01-21,5.374300003051758,0.13105,0.0345994957906539,0.3230472535105267,-1,0.0010430785026707134,-0.006971281351822456,-0.00801435985449317,1.0273474879068132
2026-01-22,5.31879997253418,0.13027,-0.003188634688426,-0.0297715228214615,0,-0.01032693196994261,-0.005951926745517033,0.004375005224425577,1.031842138533706
2026-01-23,5.283699989318848,0.13007,-0.0337471050733739,-0.3150886843508867,0,-0.006599229788032179,-0.0015352728947570782,-0.0,1.031842138533706
2026-01-26,5.288899898529053,0.12977,-0.0217349266175936,-0.202933834398832,0,0.0009841416470877107,-0.0023064503728761343,0.0,1.031842138533706
2026-01-27,5.279099941253662,0.12866,-0.0063294876843524,-0.0590969193576815,0,-0.0018529292411293419,-0.008553594821607446,0.0,1.031842138533706
2026-01-28,5.183599948883057,0.12787,-0.0838905043749402,-0.7832656636936252,0,-0.018090203525854553,-0.006140214518886911,-0.0,1.031842138533706
2026-01-29,5.197100162506104,0.12685,-0.0472285753169332,-0.4409619618638343,0,0.0026044088579706415,-0.007976851489794434,0.0,1.031842138533706
2026-01-30,5.189199924468994,0.12697,-0.0578537210522744,-0.540166417579565,0,-0.0015201242596988296,0.000945999211667381,-0.0,1.031842138533706
2026-02-02,5.255000114440918,0.12718,0.0031778804477458,0.0296711130370858,0,0.012680218709950175,0.0016539340001573422,0.0,1.031842138533706
2026-02-03,5.259399890899658,0.12653,0.0223375736052346,0.208560605822763,0,0.0008372552546001,-0.005110866488441501,0.0,1.031842138533706
2026-02-04,5.237500190734863,0.12702,-0.0106888329940009,-0.0997990884848429,0,-0.004163916153758884,0.0038725993835453387,-0.0,1.031842138533706
2026-02-05,5.23799991607666,0.12675,-0.0040580653311863,-0.0378891897077358,0,9.54129496131273e-05,-0.002125649504015059,0.0,1.031842138533706
2026-02-06,5.270500183105469,0.1267,0.0295775799052187,0.2761588206857714,0,0.006204709345079884,-0.00039447731755415383,0.0,1.031842138533706
2026-02-09,5.21589994430542,0.1264,-0.0182103896492549,-0.1700260719734172,0,-0.010359593378835186,-0.0023677979479084232,-0.0,1.031842138533706
2026-02-10,5.191599845886231,0.12687,-0.0531830432198452,-0.496557410820394,0,-0.004658850568197481,0.003718354430379822,-0.0,1.031842138533706
2026-02-11,5.196199893951416,0.12646,-0.0392728938523729,-0.3666816584027465,0,0.0008860559753713915,-0.0032316544494366273,0.0,1.031842138533706
2026-02-12,5.198699951171875,0.12636,-0.0345020802167219,-0.3221377074928115,0,0.00048113184086107097,-0.0007907638779059978,0.0,1.031842138533706
2026-02-13,5.213900089263916,0.12625,-0.0168041100679694,-0.156895974380352,0,0.0029238344653097492,-0.0008705286483063901,0.0,1.031842138533706
2026-02-18,5.2204999923706055,0.12592,-0.0027107107911472,-0.0253092611938043,0,0.0012658284573345835,-0.002613861386138616,0.0,1.031842138533706
2026-02-19,5.234399795532227,0.12605,0.0082371090307251,0.0769079256340676,0,0.002662542511624233,0.0010324015247775709,0.0,1.031842138533706
2026-02-20,5.208799839019775,0.1254,-0.0026029307829791,-0.024302944921662,0,-0.004890714792993411,-0.0051566838556127426,0.0,1.031842138533706
2026-02-23,5.176499843597412,0.12521,-0.0305884890164769,-0.2855974383440502,0,-0.00620104369924146,-0.0015151515151516914,-0.0,1.031842138533706
2026-02-24,5.170899868011475,0.12501,-0.0316469517720303,-0.2954800530559395,0,-0.0010818073515184157,-0.0015973165082658891,0.0,1.031842138533706
2026-02-25,5.151999950408936,0.12521,-0.0550883822049526,-0.5143471072330116,0,-0.0036550538755271145,0.001599872010239034,-0.0,1.031842138533706
2026-02-26,5.124199867248535,0.12476,-0.0726700614969892,-0.6785030603070066,0,-0.005395978926240996,-0.003593962143598639,-0.0,1.031842138533706
2026-02-27,5.136600017547607,0.12611,-0.0909251228030099,-0.8489462209026679,0,0.002419919327957487,0.010820775889708312,-0.0,1.031842138533706
2026-03-02,5.1296000480651855,0.12682,-0.1140474628332945,-1.0648340039707818,0,-0.0013627632010491109,0.0056300055507096936,-0.0,1.031842138533706
2026-03-03,5.170300006866455,0.12866,-0.1151294220715595,-1.0749359997468644,0,0.007934333753100598,0.014508752562687244,-0.0,1.031842138533706
2026-03-04,5.277299880981445,0.12774,0.0127614110631979,0.1191502564034368,0,0.020695099698835318,-0.00715062956629875,0.0,1.031842138533706
2026-03-05,5.230100154876709,0.12989,-0.0832595779681675,-0.7773748540671384,0,-0.008943915860236906,0.016831063096915733,-0.0,1.031842138533706
2026-03-06,5.263400077819824,0.13179,-0.0931040269137009,-0.8692901297526792,0,0.006366976149025705,0.014627761952421103,-0.0,1.031842138533706
2026-03-09,5.243500232696533,0.13247,-0.1284450156602981,-1.1992605264316043,0,-0.00378079660087971,0.0051597238030201,-0.0,1.031842138533706
2026-03-10,5.2052998542785645,0.12999,-0.110330634981504,-1.030130867354077,0,-0.007285282105980562,-0.01872121989884512,0.0,1.031842138533706
2026-03-11,5.162399768829346,0.13123,-0.1813880999791042,-1.6935774981310538,0,-0.00824161655431943,0.009539195322717298,-0.0,1.031842138533706
2026-03-12,5.151400089263916,0.13396,-0.2543794296792763,-2.375080163152191,1,-0.0021307299043065164,0.02080317000685805,-0.0,1.031842138533706
2026-03-13,5.243899822235107,0.13839,-0.2624742059010927,-2.450659161241119,1,0.017956231581385262,0.03306957300686775,-0.015113341425482485,1.016247555996846
2026-03-16,5.329100131988525,0.13553,-0.1123302626731828,-1.0488009149683195,1,0.01624750903748251,-0.02066623310932869,0.0369137421468112,1.0537610562362407
2026-03-17,5.233399868011475,0.13649,-0.229829788236076,-2.145866006654712,1,-0.017958053256045825,0.007083302589832474,-0.0250413558458783,1.0273734506505003
